table_id;x_axis_rc_code;y_axis_rc_code
C_75.01;60;330
C_75.01;100;2540
C_29.00;150;NULL
D_05.00;100;K66_21
C_13.01;110;660
C_34.02;180;120
C_114.00;190;x417_VN
C_75.01;100;1940
F_23.03;150;100
C_114.00;170;x415_AR
C_34.03;10;340
D_05.00;30;H49_2
C_32.02;200;170
C_80.00;30;330
C_07.00;60;270
F_04.09;100;6
C_114.00;203;x415_SD
D_05.00;130;B8_99
J_08.00;10;290
C_33.00;280;155
D_05.00;50;L68_2
D_05.00;110;G46_48
D_05.00;60;C10_83
D_05.00;80;S95_23
F_18.00;141;221
C_118.00;170;x415_IL
C_114.00;160;x416_EG
F_18.00;910;360
C_32.02;90;60
C_34.05;150;120
J_03.00;140;220
C_75.01;80;2260
C_13.01;20;210
J_02.00;10;410
C_91.00;200;20
C_75.01;80;1650
C_29.00;30;NULL
D_05.00;110;H51_1
C_66.01;110;740
D_07.00;60;470
C_34.03;70;40
D_03.01;60;B7_2_x90
C_43.00;40;10
C_75.01;70;120
C_13.01;150;253
C_114.00;202;x414_HR
C_74.00;120;80
C_82.00;90;40
J_09.00;30;50
C_33.00;280;30
C_118.00;180;x417_SN
C_13.01;750;470
F_23.03;160;200
D_05.00;20;O84_25
C_07.00;140;100
F_08.01;37;430
C_118.00;170;x417_EG
C_75.01;20;1090
C_10.01;40;100
C_120.01;120;x612
J_05.00;60;300
J_04.00;50;600
J_06.00;40;470
C_34.03;20;210
C_114.00;199;x414_HU
C_75.01;40;220
C_13.01;80;520
C_08.01;70;50
D_07.00;90;110
J_07.00;40;340
C_114.00;170;x417_CY
D_05.00;110;C13_93
C_33.00;280;100
D_05.00;70;G47_43
C_81.00;70;230
C_13.01;240;660
C_05.01;50;100
F_08.01;40;180
C_75.01;90;1060
C_75.01;80;2410
J_02.00;10;520
C_75.01;60;2420
J_08.00;10;130
D_05.00;40;C10_82
C_17.01;90;660
F_18.00;122;530
C_13.01;10;400
D_05.00;100;G46_49
D_05.00;70;H52_24
C_08.01;250;80
C_13.01;10;340
D_05.00;100;N77_39
C_13.01;260;640
C_80.00;40;970
C_75.01;90;2600
R_06.00;10;50
D_05.00;90;B8_99
C_75.01;100;420
C_40.00;85;10
C_10.01;30;10
J_02.00;150;210
D_09.02;130;60
C_75.01;80;2350
C_22.00;50;70
C_103.00;140;NULL
C_114.00;205;x417_AR
C_66.01;25;135
C_13.01;30;250
C_118.00;208;x418_ES
D_05.00;120;H49_2
C_07.00;130;120
C_73.00;20;205
C_118.00;209;x418_AE
C_66.01;10;691
F_18.00;30;370
J_02.00;50;600
F_46.00;80;200
C_08.01;150;170
C_32.01;40;70
C_75.01;40;1640
C_120.04;130;x99_x1286_x1284_x16_x822
C_114.00;202;x414_PL
D_05.00;120;C32_2
C_24.00;100;40
F_15.00;70;126
F_32.01;105;15
C_114.00;208;x415_MZ
D_08.00;80;170
C_80.00;30;1010
C_118.00;207;x414_HR
J_04.00;90;570
D_05.00;130;C20_59
F_18.00;191;350
C_80.00;40;880
D_05.00;80;F43_12
C_13.01;20;254
C_75.01;60;160
C_34.01;80;60
C_118.00;207;x418_CZ
D_05.00;130;H52_24
C_75.01;80;2030
F_18.00;143;223
D_05.00;90;M72_2
J_04.00;90;610
C_73.00;20;510
C_23.00;70;110
C_66.01;10;235
C_34.02;90;60
J_03.00;150;350
D_08.00;60;140
C_13.01;910;660
C_32.02;220;190
R_04.01;80;0320_0320
D_05.00;100;G46_14
D_05.00;50;C10_52
C_13.01;160;390
C_22.00;80;380
C_118.00;190;x418_ES
C_22.00;20;50
C_118.00;208;x414_RO
C_66.01;25;200
C_118.00;150;x414_SI
F_15.00;90;185
C_118.00;190;x415_VN
C_114.00;190;x418_CH
C_73.00;30;980
C_66.01;25;710
D_09.02;80;60
C_120.02;100;x52_x51_x26
D_05.00;30;G46_6
C_05.02;30;120
C_75.01;40;450
C_33.00;270;80
C_75.01;20;660
D_09.01;100;170
C_75.01;40;880
C_114.00;180;x417_KZ
C_80.00;90;270
C_66.01;210;740
C_75.01;80;960
D_05.00;30;C20_42
D_05.00;110;G46_51
C_120.04;130;x2_x1285_x876_x15_x775
C_66.01;25;990
C_118.00;207;x416_AM
F_25.01;70;70
D_05.00;50;S95_25
C_32.04;100;NULL
C_80.00;100;420
C_66.01;50;730
C_08.02;270;NULL
F_23.03;140;140
C_114.00;209;x415_IL
F_32.01;100;15
C_114.00;150;x415_GH
C_73.00;20;1170
D_05.00;130;G46_47
F_13.01;55;20
F_35.00;200;20
C_75.01;90;690
D_05.00;40;P85_32
F_04.03.1;80;30
C_73.00;20;360
C_29.00;220;NULL
J_07.00;310;340
D_05.00;70;P85_2
C_120.01;120;x622
C_34.05;80;140
C_115.00;161;NULL
F_11.04;30;110
F_18.00;142;216
C_120.04;150;x101_x1285_x876_x15_x776
C_73.00;20;130
C_118.00;190;x414_HU
C_106.01;120;x620
F_09.01.1;120;240
C_114.00;140;x415_MY
