table_id;x_axis_rc_code;y_axis_rc_code
C_75.01;100;2610
C_114.00;170;x417_EG
F_18.00;101;430
D_03.01;70;B8_11_x85
C_13.01;690;460
C_24.00;90;50
D_05.00;40;D35_14
C_13.01;250;570
C_13.01;680;540
J_02.00;10;90
C_118.00;180;x417_GG
C_16.00;90;120
D_05.00;70;C18_11
C_75.01;80;2160
C_32.02;160;70
F_04.02.1;20;20
D_08.00;60;110
C_25.00;60;30
D_05.00;100;C10_71
F_16.05;20;71
C_21.00;30;22
C_32.02;60;180
C_114.00;150;x416_VN
C_21.00;40;125
C_75.01;100;440
C_34.01;20;70
C_114.00;170;x415_UA
F_18.00;141;212
F_46.00;50;150
C_07.00;80;140
F_18.00;142;225
D_05.00;110;C25_93
C_34.05;110;30
C_75.01;70;2650
C_32.02;230;210
F_23.02;40;390
C_13.01;20;650
D_05.00;130;C17_21
D_05.00;50;B8_99
C_114.00;160;x415_BJ
C_13.01;890;530
F_18.00;141;930
F_46.00;100;60
J_03.00;150;540
D_05.00;50;G46_76
C_91.00;120;100
D_05.00;110;S94_11
C_13.01;340;660
C_114.00;170;x415_CY
F_46.00;120;110
F_18.00;180;380
C_13.01;80;580
C_34.05;160;120
F_18.00;30;490
C_75.01;20;2760
C_32.02;240;190
C_34.03;20;20
C_83.00;50;120
D_05.00;80;B8_99
C_34.03;10;240
C_17.01;100;911
C_118.00;204;x414_CH
C_120.04;130;x7_x1285_x876_x15_x776
C_80.00;40;1050
D_07.00;160;360
C_13.01;730;470
D_08.00;230;140
C_32.02;220;200
F_23.03;40;140
D_05.00;20;C31_02
C_32.02;230;170
R_12.00;100;70
C_14.00;20;NULL
C_74.00;40;140
C_32.02;160;210
D_09.01;120;130
C_66.01;10;253
C_118.00;190;x418_AU
F_04.03.1;60;10
F_08.01;40;240
C_114.00;207;x414_CZ
P_01.03;40;30
D_05.00;100;C25_94
C_114.00;150;x415_TN
J_02.00;10;580
C_10.01;61;10
D_07.00;150;440
C_08.01;230;170
C_66.01;25;155
D_05.00;80;F43_3
J_02.00;150;180
C_32.02;100;70
F_18.00;122;430
D_05.00;30;A1_28
J_06.00;60;630
F_23.02;50;270
J_07.00;300;610
F_18.00;58;211
F_18.00;180;370
C_114.00;206;x414_CZ
C_118.00;180;x414_AT
F_23.03;120;110
C_118.00;209;x417_AM
F_23.03;140;40
F_46.00;30;50
C_07.00;80;110
J_02.00;90;620
C_40.00;130;380
C_13.01;80;470
C_75.01;40;430
C_08.01;80;40
F_18.00;109;933
D_05.00;70;P85_32
J_07.00;290;630
C_120.01;50;x665
F_04.10;40;40
D_05.00;80;S94_12
D_05.00;40;G47_76
C_80.00;90;460
C_16.00;71;40
D_05.00;70;N78_2
C_81.00;70;290
C_80.00;20;450
F_15.00;100;187
C_07.00;90;150
C_73.00;20;350
C_13.01;160;540
D_05.00;100;L68_32
C_13.01;230;620
D_05.00;50;C32_2
D_05.00;40;G46_66
D_05.00;20;G46_63
D_09.01;100;140
C_14.00;190;NULL
F_35.00;30;40
C_66.01;25;230
F_18.00;102;350
C_07.00;90;230
C_91.00;80;110
C_74.00;130;150
D_05.00;70;G46_77
C_114.00;170;x415_MY
R_04.01;30;0350_0350
R_12.00;50;10
C_114.00;130;x415_MO
C_08.02;256;NULL
C_14.00;21;NULL
F_18.00;900;231
C_74.00;110;345
D_05.00;110;F41_2
C_118.00;208;x418_RU
C_75.01;40;110
D_05.00;100;G46_17
C_75.01;70;2560
D_05.00;120;A1_28
C_118.00;140;x414_CH
F_32.01;55;15
D_07.00;140;450
C_75.01;20;2400
D_05.00;100;P85_52
F_23.02;40;260
D_05.00;140;C18_13
C_114.00;206;x418_CZ
C_23.00;10;110
C_08.01;100;20
C_13.01;140;560
C_118.00;208;x417_AR
C_75.01;60;2570
C_73.00;30;920
D_05.00;110;G46_7
D_05.00;50;C33_11
C_66.01;25;480
D_05.00;140;G47_24
C_82.00;90;450
F_11.01;40;30
C_114.00;170;x415_IL
J_02.00;150;310
C_13.01;670;450
C_114.00;160;x415_IR
J_02.00;130;280
C_83.00;50;10
D_05.00;30;G47_24
C_120.06;60;NULL
C_13.01;70;560
C_13.01;50;580
C_113.00;500;NULL
C_114.00;208;x415_CO
C_73.00;30;450
C_17.01;100;740
C_13.01;50;470
C_74.00;90;140
C_75.01;40;1130
J_04.00;50;590
C_118.00;170;x417_MC
J_06.00;290;620
C_80.00;110;380
C_80.00;110;810
C_74.00;140;337
F_12.00;100;10
C_105.01;50;NULL
C_23.00;30;130
C_74.00;160;279
F_23.03;140;80
R_01.00;50;5
C_80.00;30;150
D_05.00;140;C25_93
D_05.00;130;K66_11
F_19.00;130;222
C_75.01;40;1540
J_03.00;140;120
C_114.00;140;x414_SK
D_05.00;110;E36
C_34.05;70;190
C_82.00;70;280
C_82.00;80;60
C_114.00;160;x418_CL
C_75.01;70;310
C_07.00;70;250
D_05.00;60;H51_1
C_120.01;90;x625
C_114.00;160;x416_UA
C_80.00;30;930
C_07.00;110;160
C_05.01;20;385
J_02.00;70;570
C_73.00;30;1100
C_73.00;50;500
C_32.01;40;40
C_114.00;160;x417_KY
C_73.00;20;890
F_18.00;192;490
F_15.00;80;42
C_118.00;190;x417_AR
C_43.00;40;20
D_05.00;130;C18_12
R_04.01;40;0190_0190
C_35.01;10;30
C_75.01;20;1230
C_120.02;100;x70_x50_x26
C_118.00;150;x418_NO
C_13.01;680;670
D_05.00;20;Q87_9
C_106.00;70;NULL
C_114.00;201;x415_MZ
C_66.01;25;1270
C_14.01;448;NULL
C_07.00;110;90
C_13.01;170;376
C_75.01;90;2820
C_81.00;70;360
C_118.00;170;x416_KZ
C_82.00;70;380
C_08.02;173;NULL
C_75.01;80;1730
J_02.00;140;540
D_05.00;100;K66_22
C_74.00;100;271
C_114.00;170;x415_MO
C_75.01;60;890
C_74.00;140;297
C_32.02;210;100
C_05.01;60;440
C_24.00;80;80
C_80.00;120;940
D_05.00;110;N81_1
D_07.00;90;460
D_05.00;30;R90_03
C_74.00;110;500
C_74.00;40;530
C_75.01;80;2200
F_15.00;110;20
C_74.00;60;160
M_01.00;10;350
C_118.00;180;x415_GR
C_22.00;40;90
D_05.00;110;N78_1
C_33.00;280;160
C_22.00;90;130
C_13.01;730;580
C_17.01;90;310
C_13.01;160;200
D_05.00;40;G46_63
J_05.00;310;380
C_114.00;209;x414_HU
F_18.00;101;460
C_80.00;40;690
F_18.00;143;231
D_05.00;70;J58_13
D_01.00;110;530
D_05.00;20;A1_13
C_13.01;50;510
D_05.00;130;C31_02
F_18.00;900;923
D_05.00;50;R93_13
C_118.00;160;x416_EG
D_05.00;70;O84_25
C_75.01;40;2490
D_09.02;210;10
C_07.00;120;100
F_18.00;122;460
F_18.00;56;222
C_07.00;70;130
C_84.00;30;50
C_40.00;20;360
C_17.02;130;NULL
C_114.00;190;x415_DO
C_114.00;170;x418_RU
C_13.01;860;510
C_118.00;209;x418_RU
C_08.02;100;NULL
C_32.02;120;150
C_32.02;100;80
F_23.02;150;380
D_05.00;80;G47_82
C_118.00;170;x416_IR
D_07.00;110;460
C_13.01;680;520
C_21.00;30;130
C_75.01;20;2210
C_73.00;60;985
C_16.00;120;110
J_04.00;90;580
C_75.01;60;2520
F_46.00;50;100
F_08.01;40;170
C_120.02;70;x52_x51_x27
C_80.00;120;760
C_18.00;60;150
F_18.00;58;933
C_32.02;190;150
D_07.00;20;340
F_18.00;101;370
D_05.00;130;F43_3
C_75.01;30;2780
C_91.00;10;90
C_91.00;150;110
C_114.00;160;x418_HK
J_03.00;130;540
C_74.00;130;265
C_17.01;90;970
D_05.00;80;N80_3
C_114.00;207;x414_SI
D_05.00;80;C30_92
F_08.01;40;210
C_80.00;30;100
C_34.03;10;210
C_18.00;40;325
D_05.00;100;I55_9
C_114.00;206;x416_AR
C_13.01;60;480
D_05.00;50;C25_11
C_114.00;209;x418_IN
C_21.00;10;10
D_05.00;30;M72_2
C_09.04;30;90
C_75.01;70;1230
D_05.00;30;G47_79
D_05.00;60;C29_31
F_18.00;70;510
C_114.00;208;x418_AU
F_08.01;40;340
C_32.02;240;160
C_07.00;130;180
C_80.00;120;700
C_07.00;70;290
C_32.02;210;60
C_91.00;20;90
C_24.00;150;20
F_11.04;30;210
C_13.01;650;670
C_13.01;860;520
C_75.01;20;340
C_80.00;120;910
C_24.00;90;90
C_34.05;80;210
F_18.00;109;930
D_05.00;110;F43_29
C_114.00;140;x414_HU
F_35.00;40;30
C_14.00;221;NULL
C_75.01;70;70
F_18.00;160;460
C_120.02;100;x14_x50_x26
C_34.05;140;30
D_05.00;80;G47_71
C_13.01;900;610
F_15.00;80;122
C_22.00;70;60
C_22.00;70;410
C_13.01;730;540
J_08.00;10;230
C_22.00;60;450
C_82.00;10;310
D_09.02;100;60
C_18.00;70;70
C_13.01;10;320
C_66.01;10;1091
D_05.00;70;C10_72
D_07.00;70;400
C_34.05;160;40
C_114.00;150;x418_CZ
C_13.01;890;550
C_74.00;120;70
F_15.00;100;184
F_18.00;102;390
F_18.00;102;520
F_19.00;100;214
C_114.00;150;x415_GG
C_34.02;100;140
C_28.00;240;NULL
J_02.00;70;610
C_13.01;220;550
C_07.00;100;280
J_04.00;80;630
D_05.00;130;C22_23
J_07.00;290;380
P_01.03;50;34
D_07.00;50;330
C_07.00;110;200
C_14.00;180;NULL
C_34.02;120;130
C_75.01;60;1140
C_13.01;330;520
F_18.00;70;480
C_66.01;25;60
D_05.00;50;Q87_9
C_17.01;100;50
C_82.00;90;340
C_75.01;60;60
F_11.04;40;100
C_114.00;150;x416_AM
D_05.00;70;S96_04
C_80.00;110;560
C_114.00;205;x418_BE
C_80.00;100;100
D_08.00;220;100
F_23.02;120;390
C_118.00;206;x419_ES
C_74.00;100;295
C_13.01;300;580
J_06.00;310;610
J_02.00;140;410
C_13.01;750;610
C_75.01;40;2660
C_73.00;20;720
C_22.00;50;85
J_05.00;290;170
J_04.00;100;600
D_05.00;140;G46_31
D_05.00;70;P85_1
C_13.01;920;550
C_13.01;220;460
D_05.00;70;K66_11
R_01.00;40;10
D_05.00;50;G46_32
C_07.00;10;100
C_75.01;100;1970
D_05.00;50;G47_74
C_13.01;40;361
C_118.00;160;x418_CZ
C_23.00;20;120
C_66.01;10;420
C_91.00;90;100
C_66.01;150;730
C_34.03;10;280
D_05.00;100;C31_09
C_18.00;50;200
C_80.00;90;80
D_05.00;50;G47_79
D_05.00;100;E37
C_120.04;190;x99_x1286_x1284_x15_x822
C_13.01;20;400
F_19.00;130;930
C_82.00;70;240
J_02.00;40;580
J_02.00;10;620
C_14.00;70;NULL
C_84.00;40;110
D_05.00;30;C25_93
C_75.01;40;1830
C_118.00;180;x418_CL
C_18.00;20;110
F_18.00;56;221
J_07.00;270;630
C_75.01;20;2690
C_18.00;20;70
J_05.00;290;630
C_74.00;50;341
C_80.00;40;790
F_23.03;160;150
C_81.00;90;230
C_05.02;20;60
D_05.00;30;G47_74
F_12.01;110;550
C_34.03;20;270
C_91.00;90;90
C_120.04;150;x102_x1286_x1284_x15_x822
C_81.00;70;410
D_05.00;50;E37
C_114.00;160;x417_VE
F_08.01;40;270
D_05.00;40;M73_2
C_75.01;80;670
C_75.01;70;180
F_18.00;121;221
D_02.00;120;50
D_09.01;160;40
C_13.01;70;600
C_114.00;205;x418_RU
F_18.00;951;213
C_118.00;199;x414_RO
C_114.00;205;x414_RO
R_12.00;60;20
F_18.00;70;410
C_75.01;20;600
D_09.02;30;30
D_05.00;100;S94_99
C_80.00;120;630
D_05.00;40;P85_52
C_114.00;170;x415_DO
C_75.01;80;420
C_08.01;40;50
J_06.00;50;490
C_66.01;170;740
C_13.01;170;500
D_05.00;80;R91_04
D_05.00;130;G47_61
C_82.00;90;400
C_22.00;100;380
C_22.00;80;170
D_07.00;100;480
C_28.00;330;NULL
F_35.00;200;40
C_91.00;200;40
J_03.00;140;170
D_05.00;130;G47_73
D_05.00;60;F43_9
F_18.00;140;933
D_05.00;40;S94_99
F_18.00;170;510
C_74.00;130;305
C_33.00;270;70
C_75.01;100;2300
C_35.03;50;110
C_74.00;50;410
C_75.01;20;1640
D_09.01;140;150
C_34.05;50;210
J_02.00;120;620
F_41.02;20;30
F_18.00;143;215
C_71.00;30;120
C_34.02;140;30
C_07.00;130;110
D_05.00;110;L68
C_74.00;130;480
C_118.00;180;x414_x33
C_75.01;40;2730
C_13.01;20;430
D_05.00;110;A1_3
C_84.00;10;220
C_13.01;290;530
C_74.00;40;70
D_05.00;30;C26_51
C_34.05;80;120
C_118.00;207;x414_SE
C_75.01;90;2280
C_114.00;207;x415_SA
C_75.01;20;880
C_13.01;80;540
C_75.01;80;2050
D_05.00;50;N78_3
D_05.00;90;G46_77
C_75.01;60;2350
C_74.00;130;410
D_05.00;100;S96_04
C_75.01;90;1050
C_118.00;170;x415_AR
C_13.01;10;370
F_18.00;101;500
C_114.00;207;x416_AM
C_35.01;30;40
C_13.01;670;530
C_13.01;40;550
J_07.00;40;630
C_05.01;20;380
D_05.00;100;A3_1
J_02.00;110;640
F_12.00;60;10
C_106.01;100;x603
C_118.00;180;x414_HR
C_75.01;40;810
J_02.00;60;600
C_22.00;50;120
C_80.00;100;570
C_118.00;208;x417_AM
C_13.01;150;520
C_118.00;180;x418_NO
C_75.01;90;1780
C_73.00;20;620
D_05.00;50;C33_2
D_05.00;60;F43_11
C_66.01;10;480
J_05.00;20;490
C_74.00;40;339
D_07.00;80;470
C_118.00;201;x414_SK
C_75.01;60;230
C_75.01;70;810
C_40.00;20;290
F_18.00;102;440
C_40.00;85;270
C_118.00;180;x417_BJ
C_118.00;180;x417_KZ
F_18.00;192;340
D_05.00;130;H49_2
D_05.00;120;A1_62
C_14.01;330;NULL
J_05.00;30;620
R_04.01;40;0020_0020
D_05.00;50;K64_91
C_73.00;20;1345
D_03.01;60;B8_11_x85
C_80.00;10;80
C_118.00;160;x415_ID
C_74.00;80;570
J_05.00;270;600
D_05.00;20;F43_34
F_04.03.1;15;30
C_82.00;70;430
F_23.02;30;270
F_11.04;30;140
C_17.01;90;946
C_13.01;50;640
C_13.01;680;570
C_08.02;300;NULL
C_80.00;90;310
C_13.01;320;500
D_05.00;70;N77_34
C_13.01;120;530
C_118.00;180;x416_CY
C_08.01;240;60
C_18.00;10;325
R_06.01;70;10
D_05.00;20;G46_6
C_17.02;50;NULL
C_17.01;90;450
D_05.00;50;C19_2
J_04.00;20;640
D_05.00;140;C26_51
C_14.00;230;NULL
C_74.00;120;273
D_03.01;60;C28_15_x86
R_01.00;71;10
C_05.02;40;130
C_32.01;30;190
C_118.00;170;x415_EG
J_02.00;130;170
C_40.00;130;220
C_75.01;40;1200
C_13.01;870;340
C_34.02;130;120
F_18.00;910;410
D_05.00;100;G46_66
C_34.05;60;70
F_15.00;80;124
J_06.00;30;590
C_75.01;20;1890
C_91.00;70;130
C_75.01;80;2130
C_118.00;180;x416_DO
C_118.00;180;x418_AM
D_05.00;90;C10_72
C_22.00;80;240
C_16.00;110;110
C_80.00;110;280
D_07.00;90;240
C_13.01;140;650
F_18.00;910;350
C_32.02;170;200
D_07.00;130;330
C_75.01;40;700
C_74.00;60;510
C_07.00;110;130
D_05.00;30;P85_6
F_15.00;80;200
D_05.00;30;B8_99
C_114.00;190;x415_VN
D_05.00;30;G46_75
D_05.00;110;C18_13
F_11.01;40;520
C_114.00;150;x414_PL
C_118.00;202;x414_SI
D_08.00;70;130
D_05.00;100;F42_21
D_05.00;100;H49_41
C_114.00;150;x414_HR
D_08.00;230;120
C_43.00;30;60
C_13.01;170;270
C_13.01;10;220
D_05.00;30;H49_32
F_23.02;140;350
C_84.00;40;170
J_06.00;50;170
F_15.00;70;123
J_04.00;140;200
F_20.04;40;50
C_75.01;70;1830
C_80.00;100;200
C_118.00;170;x418_CH
F_18.00;197;530
C_13.01;930;510
D_05.00;40;D35_11
F_18.00;950;226
D_09.02;310;40
C_66.01;10;510
C_13.01;10;280
D_07.00;40;460
C_05.01;10;91
C_75.01;70;1190
C_75.01;30;2800
C_115.00;107;NULL
C_08.01;20;60
C_114.00;209;x415_AR
D_07.00;80;330
C_114.00;205;x418_IT
C_13.01;150;230
C_08.01;50;40
F_18.00;951;215
D_05.00;40;G47_62
C_74.00;80;279
C_13.01;20;370
F_18.00;80;490
D_05.00;70;G46_63
F_18.00;106;420
C_13.01;70;650
C_13.01;870;530
C_18.00;50;50
D_05.00;100;J63_91
C_35.03;30;10
F_18.00;102;410
C_07.00;230;20
D_05.00;40;S95_12
C_75.01;90;2790
C_32.02;160;170
D_05.00;30;S94_12
D_05.00;90;S96_04
C_75.01;80;780
C_17.01;100;860
D_05.00;140;K64_91
F_25.01;50;100
R_01.00;80;5
C_118.00;170;x415_MU
F_18.00;56;224
C_114.00;206;x414_SI
C_09.04;30;130
C_118.00;160;x418_FR
C_18.00;20;180
C_118.00;160;x417_SN
C_73.00;60;1005
C_18.00;40;380
F_18.00;160;550
C_118.00;190;x417_CL
M_02.00;30;420
C_118.00;209;x418_AU
C_07.00;50;220
F_46.00;110;80
F_18.00;122;370
D_05.00;90;J61_9
C_73.00;50;120
C_75.01;100;1920
C_75.01;90;1290
C_66.01;60;730
D_05.00;90;S94_91
F_35.00;250;40
C_13.01;160;253
D_07.00;140;500
C_17.01;100;150
C_75.01;80;390
F_18.00;170;350
C_73.00;60;945
D_05.00;30;G47_19
C_08.01;257;160
C_17.01;100;60
F_18.00;910;470
C_118.00;150;x418_FR
D_05.00;40;J61_9
C_13.01;140;550
C_73.00;30;1090
C_32.02;270;30
D_05.00;80;Q87_2
C_118.00;206;x414_BG
C_32.02;260;140
F_08.01;40;400
J_09.00;20;40
C_17.01;90;80
D_05.00;130;A1_4
D_05.00;90;A1_61
C_16.00;90;80
D_07.00;120;500
C_13.01;150;570
J_02.00;140;350
C_74.00;50;150
J_05.00;40;490
F_12.01;20;550
C_75.01;70;340
C_75.01;80;710
D_07.00;120;430
C_118.00;205;x415_IL
C_18.00;50;360
C_28.00;160;NULL
D_05.00;110;G47_74
C_34.01;80;50
C_73.00;30;310
C_16.00;50;90
C_74.00;60;250
C_91.00;110;90
D_07.00;70;380
C_13.01;160;510
D_05.00;110;C30_92
D_05.00;70;K66_19
C_80.00;100;800
D_05.00;50;M74_3
C_114.00;207;x418_x1
F_08.01;37;270
C_81.00;10;100
J_07.00;50;580
J_07.00;300;580
F_04.03.1;30;30
D_05.00;50;G47_41
C_74.00;60;263
J_09.00;10;340
J_06.00;20;570
D_05.00;30;G46_76
C_75.01;100;1650
C_08.01;172;80
D_05.00;90;C25_94
C_80.00;90;980
F_18.00;142;231
F_18.00;30;550
D_05.00;110;I55_9
C_75.01;70;590
C_13.01;140;630
C_34.03;70;240
D_09.01;110;160
C_75.01;80;2620
C_13.01;40;460
C_22.00;30;70
C_75.01;70;2270
F_08.01;40;120
D_05.00;50;A1_43
F_18.00;950;225
J_06.00;60;500
C_74.00;20;430
C_13.01;260;470
C_75.01;20;2340
C_74.00;40;343
C_75.01;100;2800
C_73.00;30;1060
C_120.04;150;x10_x1286_x876_x15_x775
C_74.00;60;470
C_32.02;170;160
D_05.00;90;C31_02
D_05.00;50;J63_11
C_21.00;50;90
D_05.00;110;C25_12
F_18.00;170;540
J_07.00;40;370
D_05.00;80;G46_76
D_05.00;100;G46_63
F_18.00;197;450
C_74.00;150;335
C_75.01;60;2480
F_18.00;107;480
C_13.01;880;470
D_05.00;50;G47_77
C_118.00;170;x414_DK
J_04.00;30;600
C_07.00;130;140
C_114.00;180;x414_BG
C_13.01;10;630
C_08.02;257;NULL
C_80.00;100;230
D_07.00;110;450
C_75.01;40;870
C_66.01;10;205
C_05.01;60;112
C_114.00;150;x414_SI
C_103.00;133;NULL
C_22.00;100;450
C_75.01;10;2820
D_05.00;50;K64_99
F_09.02;10;180
C_118.00;160;x417_GH
D_05.00;20;F42_22
F_18.00;197;400
C_14.00;30;NULL
C_13.01;140;530
C_75.01;20;2110
C_114.00;209;x418_ES
C_66.01;10;1210
C_118.00;160;x418_HK
C_32.02;200;140
C_114.00;180;x414_CZ
F_18.00;951;216
C_13.01;310;550
C_13.01;910;560
F_35.00;100;40
C_114.00;190;x418_BE
C_75.01;40;1470
F_26.00;50;130
C_118.00;204;x419_NO
C_73.00;20;860
D_05.00;40;A1_43
C_114.00;208;x415_MO
C_74.00;140;550
R_05.00;10;110
C_114.00;205;x417_MZ
C_75.01;20;450
C_114.00;190;x415_AR
C_33.00;280;50
C_74.00;100;335
C_13.01;20;340
C_08.01;30;180
C_66.01;25;770
D_05.00;20;H49_41
D_05.00;30;C18_13
C_24.00;160;40
C_08.01;140;60
C_114.00;150;x415_KZ
C_82.00;10;340
D_05.00;20;N82_91
F_08.01;40;40
C_75.01;70;1440
C_114.00;160;x415_GH
F_23.03;120;20
C_75.01;90;1950
C_80.00;100;300
C_13.01;170;430
C_73.00;30;530
C_17.01;100;914
C_66.01;25;1220
C_34.03;20;220
C_34.05;80;170
J_04.00;70;570
C_81.00;80;270
F_32.04;40;130
C_118.00;170;x416_KY
C_32.02;50;210
C_73.00;50;945
C_75.01;70;380
C_07.00;160;110
C_118.00;206;x414_SE
C_118.00;170;x417_NC
C_13.01;40;240
F_18.00;109;222
C_74.00;110;240
J_04.00;130;10
J_06.00;310;570
F_04.02.2;20;50
D_05.00;20;C31_09
D_09.02;150;30
F_19.00;130;214
C_18.00;70;40
D_05.00;120;G46_43
C_80.00;20;310
C_05.01;60;111
D_05.00;90;G46_21
C_66.01;100;730
D_05.00;20;C32_2
J_04.00;90;620
C_74.00;120;343
C_13.01;10;376
C_114.00;206;x418_FR
C_33.00;300;230
D_07.00;120;370
C_13.01;110;650
C_34.01;40;40
C_34.05;80;80
C_13.01;330;640
C_114.00;204;x415_CO
C_17.01;100;580
M_01.00;20;330
D_05.00;40;E38_32
D_05.00;30;J58_21
F_23.03;40;180
C_114.00;150;x418_HK
C_114.00;190;x416_BJ
C_118.00;160;x414_SI
R_01.00;30;30
C_114.00;180;x415_BJ
C_115.00;145;NULL
C_80.00;110;490
C_32.02;10;200
D_08.00;230;110
C_118.00;180;x416_NC
J_07.00;290;340
D_05.00;30;C30_92
F_18.00;70;350
D_09.02;170;40
C_13.01;130;470
J_02.00;150;340
C_17.01;100;950
D_05.00;130;G47_64
C_75.01;40;2240
C_05.02;50;40
C_24.00;110;30
D_05.00;50;Q87_2
C_74.00;90;560
C_75.01;40;1710
C_16.00;120;10
C_106.01;100;x505
J_06.00;20;620
C_34.05;170;50
C_118.00;150;x415_VE
C_66.01;10;540
C_05.01;40;92
C_32.02;260;80
C_75.01;70;140
C_22.00;60;310
C_75.01;100;1760
C_16.00;90;10
C_80.00;40;750
C_66.01;10;620
J_05.00;310;340
C_80.00;120;80
D_05.00;20;S94_92
C_80.00;110;690
C_114.00;190;x415_EG
J_03.00;150;470
C_07.00;240;50
J_02.00;10;160
C_73.00;30;1440
D_05.00;130;G47_25
C_74.00;140;331
C_84.00;40;180
F_18.00;900;225
C_32.02;220;130
C_05.02;60;70
C_74.00;90;267
C_74.00;60;90
C_114.00;160;x415_VE
D_07.00;70;490
C_114.00;190;x417_MC
F_32.01;55;10
C_74.00;80;100
D_05.00;140;K64_92
D_05.00;110;C10
C_117.00;140;NULL
C_22.00;70;480
C_118.00;170;x418_IN
F_35.00;12;20
C_18.00;50;11
C_13.01;750;570
C_17.02;160;NULL
C_16.00;120;80
C_13.01;300;620
C_118.00;160;x416_AR
R_01.00;60;30
C_17.01;90;110
C_105.01;70;NULL
C_17.01;100;510
D_05.00;90;G46_6
F_35.00;60;40
C_75.01;80;2250
C_34.05;170;130
C_34.02;90;90
C_80.00;40;870
J_05.00;60;620
C_73.00;60;1065
C_35.03;20;160
C_16.00;120;120
D_05.00;90;F42_22
J_03.00;130;30
D_05.00;100;N82_91
C_91.00;180;10
C_73.00;20;35
C_22.00;60;110
C_66.01;25;105
F_09.01.1;130;230
C_75.01;70;1480
D_05.00;140;G46_6
C_22.00;60;220
F_15.00;90;123
C_08.01;10;160
D_05.00;80;G46_31
C_74.00;110;80
D_07.00;80;250
C_75.01;100;2260
C_80.00;120;210
D_05.00;40;N80_3
C_34.05;170;90
D_07.00;30;410
F_23.02;50;220
C_32.02;140;160
J_04.00;10;570
D_05.00;100;R93_29
C_75.01;80;2090
C_75.01;90;2660
F_18.00;910;222
C_80.00;20;270
C_32.02;20;190
C_114.00;190;x416_KY
C_75.01;20;2530
F_04.02.1;20;30
C_32.02;70;60
C_75.01;100;1840
D_09.01;90;160
C_114.00;207;x418_NZ
F_08.01;37;400
C_08.01;50;80
C_111.00;20;NULL
C_07.00;30;120
C_32.02;100;140
D_07.00;60;440
M_02.00;10;430
C_13.01;330;470
F_15.00;80;182
C_106.01;100;x612
C_75.01;70;1030
J_06.00;310;410
C_18.00;20;385
D_05.00;70;G46_38
F_04.03.1;90;40
C_28.00;130;NULL
C_74.00;50;480
D_05.00;130;C19_2
C_22.00;70;190
C_75.01;90;120
C_118.00;208;x418_CH
C_34.09;10;70
F_25.01;80;100
C_13.01;170;550
C_75.01;100;100
F_12.01;20;700
C_66.01;25;1110
D_05.00;110;A1_11
C_118.00;170;x418_CA
F_14.00;60;128
C_35.02;30;50
C_07.00;50;310
C_66.01;10;11
C_114.00;190;x417_DO
J_02.00;70;640
C_32.02;180;140
C_34.02;80;80
D_05.00;90;C31_09
F_18.00;952;227
D_05.00;40;A1_62
J_07.00;30;610
C_13.01;160;255
C_66.01;25;1070
D_05.00;130;C10_71
F_35.00;10;30
C_80.00;120;170
C_18.00;50;250
D_09.01;150;180
C_13.01;20;220
F_23.03;160;60
C_75.01;80;1310
C_13.01;880;610
C_16.00;60;50
C_75.01;20;940
C_106.01;120;x665
C_13.01;260;670
C_20.00;900;120
C_120.04;130;x2_x1285_x1284_x16_x822
C_07.00;220;300
J_02.00;150;70
F_18.00;80;370
C_25.00;140;40
D_05.00;80;I55_3
C_17.01;100;670
C_13.01;870;220
C_74.00;120;307
C_24.00;120;90
C_107.02;20;NULL
C_118.00;202;x414_BG
C_74.00;120;297
F_25.01;20;20
R_04.01;20;0030_0030
C_106.01;100;x527
C_28.00;40;NULL
C_17.01;100;710
C_75.01;70;1640
F_25.01;90;70
C_13.01;70;450
C_118.00;208;x418_SG
C_73.00;20;410
D_07.00;100;260
C_22.00;50;80
J_04.00;20;610
D_05.00;40;C24_44
F_18.00;30;530
C_80.00;10;430
D_05.00;70;H49_5
C_91.00;170;60
D_07.00;20;450
C_13.01;870;600
C_66.01;25;960
C_13.01;20;310
C_80.00;20;110
C_32.02;130;40
C_20.00;450;40
C_118.00;150;x417_BJ
F_23.02;30;280
D_05.00;130;C27_4
D_05.00;40;G46_21
C_16.00;80;90
D_08.00;220;150
C_05.02;60;110
C_101.00;160;NULL
C_34.05;60;140
F_35.00;120;30
D_05.00;90;C32_2
C_07.00;110;290
C_75.01;70;1510
C_105.01;60;NULL
F_32.01;35;15
F_23.03;120;40
F_09.01.1;130;90
C_80.00;100;330
C_118.00;180;x414_BG
C_114.00;190;x416_GR
C_118.00;205;x414_RO
C_17.01;90;650
J_03.00;30;580
C_80.00;120;750
C_32.02;250;140
J_09.00;20;20
C_13.01;930;480
F_46.00;70;180
C_22.00;70;290
C_13.01;30;580
C_24.00;170;30
F_18.00;196;530
C_66.01;25;740
F_20.04;22;10
C_32.02;180;40
C_13.01;650;520
C_75.01;40;1720
C_75.01;60;670
C_07.00;60;310
C_32.02;10;190
C_75.01;70;1360
J_03.00;150;190
C_13.01;220;373
C_13.01;270;460
D_09.01;20;190
C_34.03;20;70
C_24.00;180;110
C_13.01;340;500
F_25.02;30;120
C_66.01;10;710
J_02.00;130;80
D_05.00;40;C22_23
C_05.02;20;100
C_114.00;207;x418_AM
D_05.00;70;S95_29
